-0.076231 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 274.40555499999999 269.40555510000002 274.83372800000001 269.83372800000001 274.99901 269.99900984999999 274.8798395 269.87983974999997
-0.180549 "[    0.     4. -2056.]" "[   0.    327.68    1.28]" 273.74365399999999 268.74365404999998 274.40555499999999 269.40555510000002 274.83372800000001 269.83372800000001 274.99901 269.99900984999999
-0.285201 "[    8.     4. -2056.]" "[ 0.    0.    1.28]" 272.87718799999999 267.87718784999998 273.74365399999999 268.74365404999998 274.40555499999999 269.40555510000002 274.83372800000001 269.83372800000001
-0.388664 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 271.83531950000003 266.83531944999999 272.87718799999999 267.87718784999998 273.74365399999999 268.74365404999998 274.40555499999999 269.40555510000002
-0.492836 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 270.64721200000002 265.64721179999998 271.83531950000003 266.83531944999999 272.87718799999999 267.87718784999998 273.74365399999999 268.74365404999998
-0.595385 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 269.34202800000003 264.34202779999998 270.64721200000002 265.64721179999998 271.83531950000003 266.83531944999999 272.87718799999999 267.87718784999998
-0.697451 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 267.94893050000002 262.94893044999998 269.34202800000003 264.34202779999998 270.64721200000002 265.64721179999998 271.83531950000003 266.83531944999999
-0.80051 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 266.49708249999998 261.49708270000002 267.94893050000002 262.94893044999998 269.34202800000003 264.34202779999998 270.64721200000002 265.64721179999998
-0.905738 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 265.0156475 260.01564745000002 266.49708249999998 261.49708270000002 267.94893050000002 262.94893044999998 269.34202800000003 264.34202779999998
-1.008823 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 263.53379899999999 258.53379905000003 265.0156475 260.01564745000002 266.49708249999998 261.49708270000002 267.94893050000002 262.94893044999998
-1.113034 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 262.080758 257.08075819999999 263.53379899999999 258.53379905000003 265.0156475 260.01564745000002 266.49708249999998 261.49708270000002
-1.216188 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 260.68575800000002 255.6857578 262.080758 257.08075819999999 263.53379899999999 258.53379905000003 265.0156475 260.01564745000002
-1.318435 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 259.37803050000002 254.37803073000001 260.68575800000002 255.6857578 262.080758 257.08075819999999 263.53379899999999 258.53379905000003
-1.42163 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 258.18680999999998 253.186809815 259.37803050000002 254.37803073000001 260.68575800000002 255.6857578 262.080758 257.08075819999999
-1.525927 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 257.14132799999999 252.14132791500001 258.18680999999998 253.186809815 259.37803050000002 254.37803073000001 260.68575800000002 255.6857578
-1.628759 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 256.27081800000002 251.27081787500001 257.14132799999999 252.14132791500001 258.18680999999998 253.186809815 259.37803050000002 254.37803073000001
-1.731295 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 255.6045125 250.60451255500001 256.27081800000002 251.27081787500001 257.14132799999999 252.14132791500001 258.18680999999998 253.186809815
-1.833978 "[    0.     4. -2056.]" "[   0.    327.68    1.28]" 255.17164500000001 250.17164479900001 255.6045125 250.60451255500001 256.27081800000002 251.27081787500001 257.14132799999999 252.14132791500001
-1.93813 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 255.00144750000001 250.00144746262501 255.17164500000001 250.17164479900001 255.6045125 250.60451255500001 256.27081800000002 251.27081787500001
-2.040499 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 255.11602600000001 250.116026178 255.00144750000001 250.00144746262501 255.17164500000001 250.17164479900001 255.6045125 250.60451255500001
-2.144241 "[    0.     4. -2056.]" "[   0.    327.68    1.28]" 255.49906050000001 250.49906064149999 255.11602600000001 250.116026178 255.00144750000001 250.00144746262501 255.17164500000001 250.17164479900001
-2.249103 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 256.12133799999998 251.12133825000001 255.49906050000001 250.49906064149999 255.11602600000001 250.116026178 255.00144750000001 250.00144746262501
-2.35262 "[    0.     4. -2056.]" "[   0.    327.68    1.28]" 256.95363700000001 251.95363696000001 256.12133799999998 251.12133825000001 255.49906050000001 250.49906064149999 255.11602600000001 250.116026178
-2.457289 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 257.96673449999997 252.96673473000001 256.95363700000001 251.95363696000001 256.12133799999998 251.12133825000001 255.49906050000001 250.49906064149999
-2.56108 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 259.13140950000002 254.131409515 257.96673449999997 252.96673473000001 256.95363700000001 251.95363696000001 256.12133799999998 251.12133825000001
-2.664986 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 260.41843949999998 255.41843929999999 259.13140950000002 254.131409515 257.96673449999997 252.96673473000001 256.95363700000001 251.95363696000001
-2.769024 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 261.79860200000002 256.79860194999998 260.41843949999998 255.41843929999999 259.13140950000002 254.131409515 257.96673449999997 252.96673473000001
-2.871281 "[    8.     4. -2056.]" "[   0.    327.68    1.28]" 263.24267550000002 258.24267555 261.79860200000002 256.79860194999998 260.41843949999998 255.41843929999999 259.13140950000002 254.131409515
